state_name,county_name,city_name,level,date,link,type,type_name
Utah,,,state,2020-03-30,https://drive.google.com/file/d/1Qey2xIxAEqIxiiAHJyHSxBosmjetkbN7/view,2.5,"Stay Safe, Stay Home"
Utah,Davis,,county,2020-04-01,http://www.co.davis.ut.us/docs/librariesprovider5/covid-19/public-health-order-4-1-20/public-health-order-april-1-2020.pdf?,2,"Stay Safe, Stay Home"
Utah,,Salt Lake City,city,2020-03-27,https://www.kuer.org/post/salt-lake-city-mayor-issues-stay-home-order-utah-governor-issues-directive#stream/0,2,Stay at Home
Utah,Wasatach ,,county,2020-04-01,http://coronavirus.wasatch.utah.gov/Portals/9/Signed%20copy%20of%20stay%20at%20home%20order%203_30_2020.pdf,2,Stay at Home
Utah,Salt Lake,,county,2020-03-30,https://www.abc4.com/wp-content/uploads/sites/4/2020/03/March-29-Public-Health-Order.pdf,2,"Salt Lake County: Stay Safe, Stay Home"
Utah,Summit,,county,2020-03-27,https://www.summitcounty.org/DocumentCenter/View/10751/Joint-Public-Health-Order-2020-03-FINAL,2,Stay-at-Home
Vermont,,,state,2020-03-13,https://governor.vermont.gov/sites/scott/files/documents/EO%2001-20%20Declaration%20of%20State%20of%20Emergency%20in%20Response%20to%20COVID-19%20and%20National%20Guard%20Call-Out.pdf,1,State of Emergency
Vermont,,,state,2020-03-25,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%206%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,2,Stay Home/Stay Safe
Virgin Islands,,,state,2020-03-13,https://www.vi.gov/wp-content/uploads/2020/03/2020-03.23-12-54pm-Order-Suppl-Exec-Order-re-Restrictions-to-Movement-Gatherings-Operations-of-Business-Govt.-and-Schools-fully-signed.pdf,1,State of Emergency
Virgin Islands,,,state,2020-03-25,https://www.vi.gov/wp-content/uploads/2020/03/2020-03.23-12-54pm-Order-Suppl-Exec-Order-re-Restrictions-to-Movement-Gatherings-Operations-of-Business-Govt.-and-Schools-fully-signed.pdf,2,Stay-At-Home
Virginia,,,state,2020-03-12,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EO-51-Declaration-of-a-State-of-Emergency-Due-to-Novel-Coronavirus-(COVID-19).pdf,1,State of Emergency
Virginia,,,state,2020-03-30,https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-55-Temporary-Stay-at-Home-Order-Due-to-Novel-Coronavirus-(COVID-19).pdf,2,Stay at Home
Washington,,,state,2020-02-29,https://www.governor.wa.gov/sites/default/files/20-05%20Coronavirus%20%28final%29.pdf,1,State of Emergency
Washington,,,state,2020-03-25,https://www.governor.wa.gov/sites/default/files/proclamations/20-25%20Coronovirus%20Stay%20Safe-Stay%20Healthy%20%28tmp%29%20%28002%29.pdf,2,Stay Home-Stay Healthy
Washington,,Everett,city,2020-03-23,https://everettwa.gov/DocumentCenter/View/24195/2020-03-20-Stay-home-protect-public-health-Directive_FINAL,2,"Stay Home, Protect Public Health"
Washington,,Edmonds,city,2020-03-22,https://edmondschamber.com/edmonds-mayor-issues-emergency-stay-at-home-order/,2,Stay-At-Home
Washington,Yakima,,county,2020-03-22,https://www.scribd.com/document/452848470/Yakima-Health-District-Stay-at-home-order-COVID-19-32220,2,Stay at Home
West Virginia,,,state,2020-03-04,https://governor.wv.gov/Documents/2020%20Proclamations/State-of-Emergency-March-16-2020.pdf,1,State of Emergency
West Virginia,,,state,2020-03-24,https://apps.sos.wv.gov/adlaw/executivejournal/readpdf.aspx?DocID=89504,2,Stay at Home
Wisconsin,,,state,2020-03-12,https://evers.wi.gov/Documents/EO/EO072-DeclaringHealthEmergencyCOVID-19.pdf,1,Public Health Emergency/State of Emergency
Wisconsin,,,state,2020-03-25,https://evers.wi.gov/Documents/COVID19/EMO12-SaferAtHome.pdf,2,Safer at Home
Wisconsin,,Milwaukee,city,2020-03-25,https://localtvwiti.files.wordpress.com/2020/03/cadb01-267644-v1-signed_stay_at_home_order_3_23_20.pdf,2,Stay-At-Home
Wyoming,,,state,2020-03-13,https://drive.google.com/file/d/1FTEUxYXwwbIjcnwDl18w0pTLtM8ivTab/view,1,Public Health Emergency/State of Emergency
Wyoming,,,state,,,2,
Wyoming,,,state,,,3,
Wyoming,,Jackson,city,2020-03-28,https://bloximages.newyork1.vip.townnews.com/jhnewsandguide.com/content/tncms/assets/v3/editorial/b/e5/be56d959-4082-5cf1-a423-42169d4de360/5e7fe88749917.pdf.pdf,2,Stay-At-Home
Wyoming,Teton,,county,2020-03-31,https://www.tetoncountywy.gov/DocumentCenter/View/13650/Press-Release-Teton-District-Public-Health-Order-20-4,,Gatherings With Only Your Household
